ArabidopsisGeneID, CottonGeneID, Identity%, Similarity%
>AT1G07390.3,>GhA13G170200,27.9%,39.6%
>AT1G07390.3,>GhD05G396600,26.3%,36.7%
>AT1G07390.3,>GhA13G228800,28.1%,40.2%
>AT1G07390.3,>GhD01G250500,24.6%,37.4%
>AT1G07390.3,>GhD01G250400,24.6%,35.0%
>AT1G07390.3,>GhD01G248400,25.7%,37.5%
>AT1G07390.3,>GhD04G152600,25.5%,38.5%
>AT1G07390.3,>GhD10G138900,27.6%,40.2%
>AT1G07390.3,>GhD10G036800, 8.8%,14.4%
>AT1G07390.3,>GhD01G046300,26.8%,39.2%
>AT1G07390.3,>GhD06G224700,28.8%,41.2%
>AT1G07390.3,>GhD02G031500,30.6%,45.3%
>AT1G07390.3,>GhD07G192700,25.3%,38.0%
>AT1G07390.3,>GhA11G356600,16.8%,28.1%
>AT1G07390.3,>GhA02G027000,28.0%,41.3%
>AT1G07390.3,>GhD10G132500,31.6%,44.2%
>AT1G07390.3,>GhA05G356600,35.4%,49.1%
>AT1G07390.3,>GhD06G224800,33.2%,48.0%
>AT1G07390.3,>GhD05G397900,26.6%,39.0%
>AT1G07390.3,>GhA01G251300,28.0%,39.8%
>AT1G07390.3,>GhA01G254200,25.6%,38.4%
>AT1G07390.3,>GhD05G395300,27.1%,39.4%
>AT1G07390.3,>GhD05G396900,27.4%,38.8%
>AT1G07390.3,>GhA08G025700,28.5%,41.2%
>AT1G07390.3,>GhD05G395000,26.6%,37.7%
>AT1G07390.3,>GhD02G045600,25.6%,39.6%
>AT1G07390.3,>GhD07G213600,26.5%,41.2%
>AT1G07390.3,>GhA11G333100,27.4%,40.2%
>AT1G07390.3,>GhA11G297300,27.8%,40.9%
>AT1G07390.3,>GhD09G061000,26.4%,39.1%
>AT1G07390.3,>GhD03G121200,27.2%,39.4%
>AT1G07390.3,>GhD05G367000,25.6%,36.4%
>AT1G07390.3,>GhD11G339300,26.4%,40.6%
>AT1G07390.3,>GhA10G097800,25.2%,38.1%
>AT1G07390.3,>GhD02G133200,24.6%,37.5%
>AT1G07390.3,>GhA13G228700,29.8%,43.9%
>AT1G07390.3,>GhA11G332000,26.1%,38.8%
>AT1G07390.3,>GhA09G067500,24.9%,37.1%
>AT1G07390.3,>GhA04G007700,25.5%,37.4%
>AT1G07390.3,>GhD12G159200,27.4%,40.0%
>AT1G07390.3,>GhA11G334000,26.2%,38.7%
>AT1G07390.3,>GhA11G283300,26.4%,37.6%
>AT1G07390.3,>GhD05G365900,27.3%,39.3%
>AT1G07390.3,>GhD05G396500,25.3%,35.8%
>AT1G07390.3,>GhD11G317300,25.1%,37.4%
>AT1G07390.3,>GhD11G339500,26.3%,39.1%
>AT1G07390.3,>GhA02G081100,27.0%,41.9%
>AT1G07390.3,>GhD01G046400,25.0%,35.9%
>AT1G07390.3,>GhA04G033800,25.3%,37.2%
>AT1G07390.3,>GhA10G123500,28.2%,40.5%
>AT1G07390.3,>GhD02G031000,30.3%,42.8%
>AT1G07390.3,>GhD05G367500,26.0%,36.9%
>AT1G07390.3,>GhD10G133200,27.4%,39.1%
>AT1G07390.3,>GhD02G031100,27.8%,39.8%
>AT1G07390.3,>GhA08G051200,27.7%,39.6%
>AT1G07390.3,>GhA05G269500,25.2%,35.8%
>AT1G07390.3,>GhA04G049200,24.0%,33.3%
>AT1G07390.3,>GhA04G007600,22.7%,35.0%
>AT1G07390.3,>GhA01G011400,19.9%,30.3%
>AT1G07390.3,>GhD01G049600,19.2%,29.4%
>AT1G07390.3,>GhD13G066900,24.3%,35.6%
>AT1G07390.3,>GhA13G229300,22.9%,33.9%
>AT1G07390.3,>GhD02G220600,20.0%,29.6%
>AT1G07390.3,>GhD05G397800,17.3%,24.8%
>AT1G07390.3,>GhD05G396100,21.2%,30.3%
>AT1G07390.3,>GhA07G032400, 9.8%,16.5%
>AT1G07390.3,>GhD07G033800,10.6%,16.2%
>AT1G07390.3,>GhD02G030300,22.8%,32.7%
>AT1G07390.3,>GhD05G397600,19.5%,29.4%
>AT1G07390.3,>GhD02G131200,11.5%,18.1%
>AT1G07390.3,>GhA10G019500,13.8%,23.3%
>AT1G07390.3,>GhD09G084700,11.8%,20.0%
>AT1G07390.3,>GhD10G028400,13.6%,23.4%
>AT1G07390.3,>GhD11G147600,16.7%,25.2%
>AT1G07390.3,>GhA09G089700,11.8%,21.5%
>AT1G07390.3,>GhA03G115900,10.8%,17.8%
>AT1G07390.3,>GhA05G085800,11.0%,17.8%
>AT1G07390.3,>GhA05G396900,20.9%,29.0%
>AT1G07390.3,>GhD05G097500,11.0%,17.5%
>AT1G07390.3,>GhD04G021200,16.8%,25.9%
>AT1G07390.3,>GhD05G395100,17.2%,24.9%
>AT1G07390.3,>GhA02G024800,14.1%,20.4%
>AT1G07390.3,>GhA06G154300,11.8%,18.8%
>AT1G07390.3,>GhA05G139400,10.8%,17.9%
>AT1G07390.3,>GhA04G034300,13.8%,20.3%
>AT1G07390.3,>GhA04G008600,10.6%,15.3%
>AT1G07390.3,>GhA08G221500,12.8%,19.9%
>AT1G07390.3,>GhA04G034600,11.6%,16.8%
>AT1G07390.3,>GhA07G096900, 9.4%,14.1%
>AT1G07390.3,>GhD05G155100, 8.4%,14.3%
>AT1G07390.3,>GhD10G138600,11.4%,17.2%
>AT1G07390.3,>GhA07G216400,10.1%,14.7%
>AT1G07390.3,>GhD02G030600, 7.3%,10.4%
>AT1G07390.3,>GhD02G078300, 7.6%,10.7%
>AT1G07390.3,>GhD05G396200, 8.6%,11.9%
>AT1G07390.3,>GhD01G010800, 8.8%,12.1%
>AT1G07390.3,>GhA04G048600, 8.9%,12.1%
>AT1G07390.3,>GhA07G216700, 6.9%,10.7%
>AT1G07390.3,>GhD02G030200, 9.3%,12.1%
>AT1G07390.3,>GhA01G053700, 6.7%, 9.7%
>AT1G07390.3,>GhA04G008300,26.2%,38.7%
>AT1G07390.3,>GhD02G032100,31.8%,45.4%
>AT1G17240.1,>GhA03G106700,26.6%,37.2%
>AT1G17240.1,>GhD01G046100,23.6%,34.6%
>AT1G17240.1,>GhA02G156900,24.3%,36.4%
>AT1G17240.1,>GhA02G180200,10.6%,15.9%
>AT1G17240.1,>GhD06G224500,21.3%,32.4%
>AT1G17240.1,>GhA03G076200,23.6%,36.3%
>AT1G17240.1,>GhA03G127200,11.4%,17.8%
>AT1G17240.1,>GhA04G007800,27.3%,39.4%
>AT1G17240.1,>GhD01G092200,27.9%,40.3%
>AT1G17240.1,>GhA04G008400,23.2%,34.0%
>AT1G17240.1,>GhD05G389300,25.0%,37.9%
>AT1G17240.1,>GhD05G398200,25.0%,37.6%
>AT1G17240.1,>GhA04G129800,25.6%,40.1%
>AT1G17240.1,>GhD04G025800,23.7%,36.6%
>AT1G17240.1,>GhA05G008200,25.5%,38.8%
>AT1G17240.1,>GhA05G397500,29.0%,43.6%
>AT1G17240.1,>GhD11G221500,11.5%,16.4%
>AT1G17240.1,>GhD09G178000,23.6%,34.3%
>AT1G17240.1,>GhA06G196800,25.0%,36.4%
>AT1G17240.1,>GhD08G020700,24.5%,35.7%
>AT1G17240.1,>GhD08G021100,24.6%,36.6%
>AT1G17240.1,>GhA07G164200,19.8%,29.7%
>AT1G17240.1,>GhD08G025300,26.3%,37.3%
>AT1G17240.1,>GhA07G194800,24.2%,36.7%
>AT1G17240.1,>GhD08G025400,27.3%,38.1%
>AT1G17240.1,>GhA08G025800,26.4%,38.3%
>AT1G17240.1,>GhD13G171600,25.3%,39.2%
>AT1G17240.1,>GhA08G245600,24.7%,38.3%
>AT1G17240.1,>GhD10G132600,19.0%,29.9%
>AT1G17240.1,>GhA09G028900,12.8%,17.9%
>AT1G17240.1,>GhD10G132400,19.4%,28.9%
>AT1G17240.1,>GhA09G136100,26.9%,40.2%
>AT1G17240.1,>GhD03G032100,10.2%,15.8%
>AT1G17240.1,>GhA10G027700,17.4%,25.6%
>AT1G17240.1,>GhD11G337700,25.8%,38.6%
>AT1G17240.1,>GhA10G140000,20.2%,28.6%
>AT1G17240.1,>GhD04G169800,25.1%,39.5%
>AT1G17240.1,>GhD05G346300,18.8%,28.7%
>AT1G17240.1,>GhA11G075300,23.0%,37.4%
>AT1G17240.1,>GhA11G229300,11.8%,16.4%
>AT1G17240.1,>GhD08G236900,24.4%,38.5%
>AT1G17240.1,>GhA11G292000,26.8%,41.8%
>AT1G17240.1,>GhD05G388100,25.8%,36.5%
>AT1G17240.1,>GhA12G092200,10.4%,14.7%
>AT1G17240.1,>GhD07G163000,19.5%,29.8%
>AT1G17240.1,>GhD07G095200,24.1%,35.8%
>AT1G17240.1,>GhD13G060700,10.2%,13.9%
>AT1G17240.1,>GhD03G057700,24.4%,35.5%
>AT1G17240.1,>GhD13G232900,23.0%,35.8%
>AT1G17240.1,>GhD10G173100,24.0%,35.9%
>AT1G17240.1,>GhD06G069300,23.0%,35.0%
>AT1G17240.1,>GhD12G090600,10.4%,14.9%
>AT1G17240.1,>GhD06G155600,15.2%,22.9%
>AT1G17240.1,>GhD02G148100,12.2%,17.9%
>AT1G17240.1,>GhD02G148100,12.2%,17.9%
>AT1G17240.1,>GhD01G245400,24.2%,35.7%
>AT1G17240.1,>GhD01G245500,24.6%,36.1%
>AT1G17240.1,>GhA11G283800,25.3%,36.8%
>AT1G17240.1,>GhD11G338300,24.9%,37.2%
>AT1G17240.1,>GhD11G338200,24.7%,37.0%
>AT1G17240.1,>GhA13G063200,27.2%,43.0%
>AT1G17240.1,>GhD09G026100,11.7%,15.7%
>AT1G17240.1,>GhD05G013900,23.3%,34.7%
>AT1G17240.1,>GhA01G050700,22.1%,32.0%
>AT1G17240.1,>GhD02G027900,22.6%,33.2%
>AT1G17240.1,>GhD02G027800,23.0%,33.6%
>AT1G17240.1,>GhD11G075500,22.8%,38.0%
>AT1G17240.1,>GhA10G123000,24.4%,36.4%
>AT1G17240.1,>GhA01G256300,22.3%,32.5%
>AT1G17240.1,>GhD05G336900,24.1%,36.4%
>AT1G17240.1,>GhA10G135100,22.4%,34.7%
>AT1G17240.1,>GhA01G256200,25.7%,38.2%
>AT1G17240.1,>GhD04G152700,19.9%,30.6%
>AT1G17240.1,>GhA04G049100,25.4%,36.8%
>AT1G17240.1,>GhD08G020800,24.7%,36.7%
>AT1G17240.1,>GhA04G113800,21.6%,32.9%
>AT1G17240.1,>GhA04G049500,25.4%,37.2%
>AT1G17240.1,>GhD02G031400,25.6%,36.9%
>AT1G17240.1,>GhD04G152900,22.7%,33.2%
>AT1G17240.1,>GhD02G031600,19.4%,29.4%
>AT1G17240.1,>GhD05G397000,25.7%,39.6%
>AT1G17240.1,>GhA13G170200,23.1%,35.1%
>AT1G17240.1,>GhD05G396600,24.0%,35.9%
>AT1G17240.1,>GhA13G228800,25.5%,38.6%
>AT1G17240.1,>GhD01G250500,23.7%,33.9%
>AT1G17240.1,>GhD01G250400,23.6%,35.3%
>AT1G17240.1,>GhD01G248400,23.5%,34.6%
>AT1G17240.1,>GhD04G152600,24.5%,35.0%
>AT1G17240.1,>GhD10G138900,22.0%,35.0%
>AT1G17240.1,>GhD10G036800,17.1%,25.4%
>AT1G17240.1,>GhD01G046300,23.6%,36.5%
>AT1G17240.1,>GhD06G224700,16.7%,25.8%
>AT1G17240.1,>GhD02G031500,17.4%,27.0%
>AT1G17240.1,>GhD07G192700,24.7%,36.3%
>AT1G17240.1,>GhA11G356600,13.2%,21.4%
>AT1G17240.1,>GhA02G027000,15.9%,25.0%
>AT1G17240.1,>GhD10G132500,20.2%,29.3%
>AT1G17240.1,>GhA05G356600,23.4%,34.6%
>AT1G17240.1,>GhD06G224800,20.1%,31.8%
>AT1G17240.1,>GhD05G397900,22.7%,33.1%
>AT1G17240.1,>GhA01G251300,23.8%,34.8%
>AT1G17240.1,>GhA01G254200,22.1%,34.1%
>AT1G17240.1,>GhD05G395300,23.3%,34.3%
>AT1G17240.1,>GhD05G396900,23.6%,34.6%
>AT1G17240.1,>GhA08G025700,24.8%,36.8%
>AT1G17240.1,>GhD05G395000,24.4%,36.4%
>AT1G17240.1,>GhD02G045600,22.0%,33.1%
>AT1G17240.1,>GhD07G213600,26.0%,35.9%
>AT1G17240.1,>GhA11G333100,25.8%,37.8%
>AT1G17240.1,>GhA11G297300,24.1%,36.9%
>AT1G17240.1,>GhD09G061000,26.1%,38.2%
>AT1G17240.1,>GhD03G121200,22.6%,35.0%
>AT1G17240.1,>GhD05G367000,22.2%,36.6%
>AT1G17240.1,>GhD11G339300,25.7%,38.9%
>AT1G17240.1,>GhA10G097800,23.5%,35.6%
>AT1G17240.1,>GhD02G133200,26.2%,38.3%
>AT1G17240.1,>GhA13G228700,22.6%,34.9%
>AT1G17240.1,>GhA11G332000,24.8%,37.8%
>AT1G17240.1,>GhA09G067500,26.4%,38.7%
>AT1G17240.1,>GhA04G007700,24.6%,35.5%
>AT1G17240.1,>GhD12G159200,25.5%,39.0%
>AT1G17240.1,>GhA11G334000,25.8%,39.0%
>AT1G17240.1,>GhA11G283300,23.0%,35.5%
>AT1G17240.1,>GhD05G365900,23.6%,38.6%
>AT1G17240.1,>GhD05G396500,25.5%,37.2%
>AT1G17240.1,>GhD11G317300,27.2%,39.2%
>AT1G17240.1,>GhD11G339500,25.5%,37.9%
>AT1G17240.1,>GhA02G081100,24.3%,38.3%
>AT1G17240.1,>GhD01G046400,25.1%,38.3%
>AT1G17240.1,>GhA04G033800,23.9%,38.2%
>AT1G17240.1,>GhA10G123500,25.1%,36.8%
>AT1G17240.1,>GhD02G031000,24.6%,37.8%
>AT1G17240.1,>GhD05G367500,23.3%,35.0%
>AT1G17240.1,>GhD10G133200,25.1%,37.2%
>AT1G17240.1,>GhD02G031100,26.4%,40.2%
>AT1G17240.1,>GhA08G051200,25.5%,37.8%
>AT1G17240.1,>GhA05G269500,25.7%,37.4%
>AT1G17240.1,>GhA04G049200,22.7%,35.3%
>AT1G17240.1,>GhA04G007600,26.4%,36.7%
>AT1G17240.1,>GhA01G011400,30.6%,43.8%
>AT1G17240.1,>GhD01G049600,28.7%,40.8%
>AT1G17240.1,>GhD13G066900,27.5%,42.2%
>AT1G17240.1,>GhA13G229300,21.5%,33.7%
>AT1G17240.1,>GhD02G220600,32.5%,48.3%
>AT1G17240.1,>GhD05G397800,26.0%,37.3%
>AT1G17240.1,>GhD05G396100,25.6%,36.7%
>AT1G17240.1,>GhA07G032400,14.8%,23.0%
>AT1G17240.1,>GhD07G033800,16.4%,25.7%
>AT1G17240.1,>GhD02G030300,25.1%,36.8%
>AT1G17240.1,>GhD05G397600,22.1%,32.8%
>AT1G17240.1,>GhD02G131200, 8.0%,13.5%
>AT1G17240.1,>GhA10G019500,18.3%,30.1%
>AT1G17240.1,>GhD09G084700,15.7%,24.2%
>AT1G17240.1,>GhD10G028400,18.7%,30.1%
>AT1G17240.1,>GhD11G147600,22.4%,33.3%
>AT1G17240.1,>GhA09G089700,16.5%,24.0%
>AT1G17240.1,>GhA03G115900, 8.2%,13.8%
>AT1G17240.1,>GhA05G085800,18.7%,32.9%
>AT1G17240.1,>GhA05G396900,25.2%,36.3%
>AT1G17240.1,>GhD05G097500,18.4%,31.5%
>AT1G17240.1,>GhD04G021200,22.5%,34.8%
>AT1G17240.1,>GhD05G395100,23.3%,31.3%
>AT1G17240.1,>GhA02G024800,17.7%,26.4%
>AT1G17240.1,>GhA06G154300,15.4%,23.2%
>AT1G17240.1,>GhA05G139400,15.7%,23.4%
>AT1G17240.1,>GhA04G034300,16.8%,26.1%
>AT1G17240.1,>GhA04G008600,13.2%,20.2%
>AT1G17240.1,>GhA08G221500,17.5%,26.3%
>AT1G17240.1,>GhA04G034600,15.2%,22.2%
>AT1G17240.1,>GhA07G096900,10.4%,15.6%
>AT1G17240.1,>GhD05G155100,11.7%,17.7%
>AT1G17240.1,>GhD10G138600,13.7%,20.9%
>AT1G17240.1,>GhA07G216400,12.4%,17.3%
>AT1G17240.1,>GhD02G030600,11.9%,19.3%
>AT1G17240.1,>GhD02G078300,15.7%,21.9%
>AT1G17240.1,>GhD05G396200,10.6%,15.7%
>AT1G17240.1,>GhD01G010800,11.9%,17.0%
>AT1G17240.1,>GhA04G048600,10.2%,14.7%
>AT1G17240.1,>GhA07G216700, 9.0%,11.8%
>AT1G17240.1,>GhD02G030200,10.2%,13.0%
>AT1G17240.1,>GhA01G053700, 8.0%,11.7%
>AT1G17240.1,>GhA04G008300,21.4%,32.3%
>AT1G17240.1,>GhD02G032100,20.1%,31.0%
>AT1G17250.1,>GhA03G106700,25.2%,36.1%
>AT1G17250.1,>GhD01G046100,24.4%,35.4%
>AT1G17250.1,>GhA02G156900,24.9%,36.3%
>AT1G17250.1,>GhA02G180200,10.0%,17.2%
>AT1G17250.1,>GhD06G224500,20.4%,30.8%
>AT1G17250.1,>GhA03G076200,22.7%,34.6%
>AT1G17250.1,>GhA03G127200, 9.8%,15.6%
>AT1G17250.1,>GhA04G007800,24.8%,37.5%
>AT1G17250.1,>GhD01G092200,27.9%,39.4%
>AT1G17250.1,>GhA04G008400,23.3%,34.6%
>AT1G17250.1,>GhD05G389300,24.5%,36.7%
>AT1G17250.1,>GhD05G398200,24.3%,38.1%
>AT1G17250.1,>GhA04G129800,26.2%,40.5%
>AT1G17250.1,>GhD04G025800,26.5%,40.6%
>AT1G17250.1,>GhA05G008200,20.3%,30.7%
>AT1G17250.1,>GhA05G397500,28.7%,43.7%
>AT1G17250.1,>GhD11G221500,10.1%,15.1%
>AT1G17250.1,>GhD09G178000,22.4%,34.7%
>AT1G17250.1,>GhA06G196800,24.8%,36.6%
>AT1G17250.1,>GhD08G020700,24.6%,36.1%
>AT1G17250.1,>GhD08G021100,23.7%,36.5%
>AT1G17250.1,>GhA07G164200,19.4%,30.3%
>AT1G17250.1,>GhD08G025300,26.3%,38.0%
>AT1G17250.1,>GhA07G194800,24.9%,37.8%
>AT1G17250.1,>GhD08G025400,25.4%,37.3%
>AT1G17250.1,>GhA08G025800,25.3%,39.6%
>AT1G17250.1,>GhD13G171600,26.8%,39.4%
>AT1G17250.1,>GhA08G245600,23.8%,36.3%
>AT1G17250.1,>GhD10G132600,23.2%,32.5%
>AT1G17250.1,>GhA09G028900, 9.6%,13.8%
>AT1G17250.1,>GhD10G132400,20.5%,29.5%
>AT1G17250.1,>GhA09G136100,25.9%,37.6%
>AT1G17250.1,>GhD03G032100, 9.8%,16.3%
>AT1G17250.1,>GhA10G027700,16.5%,23.2%
>AT1G17250.1,>GhD11G337700,24.7%,38.8%
>AT1G17250.1,>GhA10G140000,20.3%,30.2%
>AT1G17250.1,>GhD04G169800,25.4%,39.6%
>AT1G17250.1,>GhD05G346300,20.3%,29.7%
>AT1G17250.1,>GhA11G075300,23.4%,35.7%
>AT1G17250.1,>GhA11G229300,10.1%,15.1%
>AT1G17250.1,>GhD08G236900,23.5%,36.5%
>AT1G17250.1,>GhA11G292000,26.3%,40.3%
>AT1G17250.1,>GhD05G388100,24.5%,36.9%
>AT1G17250.1,>GhA12G092200, 9.7%,16.4%
>AT1G17250.1,>GhD07G163000,19.0%,28.8%
>AT1G17250.1,>GhD07G095200,24.2%,36.3%
>AT1G17250.1,>GhD13G060700, 8.6%,14.6%
>AT1G17250.1,>GhD03G057700,25.1%,36.9%
>AT1G17250.1,>GhD13G232900,23.6%,36.7%
>AT1G17250.1,>GhD10G173100,23.7%,37.9%
>AT1G17250.1,>GhD06G069300,23.3%,33.8%
>AT1G17250.1,>GhD12G090600, 9.9%,15.7%
>AT1G17250.1,>GhD06G155600,16.8%,23.8%
>AT1G17250.1,>GhD02G148100, 9.3%,15.6%
>AT1G17250.1,>GhD02G148100, 9.3%,15.6%
>AT1G17250.1,>GhD01G245400,24.0%,35.8%
>AT1G17250.1,>GhD01G245500,24.2%,36.2%
>AT1G17250.1,>GhA11G283800,26.8%,38.5%
>AT1G17250.1,>GhD11G338300,25.2%,38.4%
>AT1G17250.1,>GhD11G338200,25.2%,37.8%
>AT1G17250.1,>GhA13G063200,27.5%,40.7%
>AT1G17250.1,>GhD09G026100,11.3%,15.0%
>AT1G17250.1,>GhD05G013900,22.4%,32.5%
>AT1G17250.1,>GhA01G050700,24.5%,35.5%
>AT1G17250.1,>GhD02G027900,20.0%,30.4%
>AT1G17250.1,>GhD02G027800,19.4%,29.7%
>AT1G17250.1,>GhD11G075500,23.6%,36.6%
>AT1G17250.1,>GhA10G123000,25.8%,37.7%
>AT1G17250.1,>GhA01G256300,21.5%,32.8%
>AT1G17250.1,>GhD05G336900,24.5%,35.8%
>AT1G17250.1,>GhA10G135100,23.4%,35.1%
>AT1G17250.1,>GhA01G256200,23.7%,36.4%
>AT1G17250.1,>GhD04G152700,20.9%,31.4%
>AT1G17250.1,>GhA04G049100,24.9%,37.2%
>AT1G17250.1,>GhD08G020800,24.0%,36.3%
>AT1G17250.1,>GhA04G113800,22.3%,33.3%
>AT1G17250.1,>GhA04G049500,26.4%,37.2%
>AT1G17250.1,>GhD02G031400,26.2%,37.8%
>AT1G17250.1,>GhD04G152900,23.3%,32.8%
>AT1G17250.1,>GhD02G031600,19.4%,31.7%
>AT1G17250.1,>GhD05G397000,25.3%,38.7%
>AT1G17250.1,>GhA13G170200,25.7%,36.8%
>AT1G17250.1,>GhD05G396600,24.0%,37.1%
>AT1G17250.1,>GhA13G228800,23.8%,36.9%
>AT1G17250.1,>GhD01G250500,22.0%,32.8%
>AT1G17250.1,>GhD01G250400,23.9%,35.5%
>AT1G17250.1,>GhD01G248400,23.0%,34.8%
>AT1G17250.1,>GhD04G152600,24.2%,34.1%
>AT1G17250.1,>GhD10G138900,23.7%,35.2%
>AT1G17250.1,>GhD10G036800,14.3%,19.9%
>AT1G17250.1,>GhD01G046300,24.2%,35.9%
>AT1G17250.1,>GhD06G224700,17.6%,26.1%
>AT1G17250.1,>GhD02G031500,17.6%,28.5%
>AT1G17250.1,>GhD07G192700,24.5%,36.5%
>AT1G17250.1,>GhA11G356600,12.4%,21.0%
>AT1G17250.1,>GhA02G027000,16.2%,25.3%
>AT1G17250.1,>GhD10G132500,20.6%,30.6%
>AT1G17250.1,>GhA05G356600,23.6%,34.3%
>AT1G17250.1,>GhD06G224800,20.9%,30.7%
>AT1G17250.1,>GhD05G397900,23.2%,36.1%
>AT1G17250.1,>GhA01G251300,23.6%,35.6%
>AT1G17250.1,>GhA01G254200,21.6%,33.6%
>AT1G17250.1,>GhD05G395300,21.9%,33.5%
>AT1G17250.1,>GhD05G396900,23.3%,35.0%
>AT1G17250.1,>GhA08G025700,24.9%,35.3%
>AT1G17250.1,>GhD05G395000,23.3%,33.9%
>AT1G17250.1,>GhD02G045600,22.1%,34.6%
>AT1G17250.1,>GhD07G213600,24.8%,37.3%
>AT1G17250.1,>GhA11G333100,24.3%,36.8%
>AT1G17250.1,>GhA11G297300,23.9%,36.2%
>AT1G17250.1,>GhD09G061000,24.0%,37.1%
>AT1G17250.1,>GhD03G121200,23.2%,36.0%
>AT1G17250.1,>GhD05G367000,22.8%,35.4%
